tema,Movimiento Progresista,Nueva Alianza,Partido Acción Nacional,Compromiso por México
Ministerio Público," Garantizar la plena autonomía del Ministerio Público sustrayendo sus funciones de la esfera de competencia del poder ejecutivo, imposibilitando así la acción penal por consigna.",," Promover la modernización de la figura del Ministerio Público, haciendo énfasis en su posición como defensor de las víctimas.", Asegurar que la actuación del Ministerio Público se conduzca en estricta observancia de criterios profesionales y técnicos jurídicos para consolidar su independencia y evitar la intromisión de cualquier autoridad diversa en la investigación y determinación de los asuntos de su exclusiva competencia.
Ministerio Público," Eliminar el monopolio de la acción penal a cargo del Ministerio Público, haciendo valer directamente ante el juez competente los derechos de la víctima, eliminando la discrecionalidad del Ministerio Público, la corrupción en el procedimiento administrativo y la pérdida de tiempo.  ",,,
Reforma de la legislación penal, Reformar las leyes penales para adecuar la penalización y castigo de la desaparición forzada de personas y hacer efectivo el mecanismo para la penalización de dicho delito.,," Fortalecer la legislación penal federal, para otorgar mayor "," Generar un gran acuerdo, con el compromiso de gobernadores y presidentes municipales, para concretar la instrumentación legal y práctica de la reforma penal."
Reforma de la legislación penal," Reformar integralmente y garantizar la correcta aplicación, con pleno respeto de los derechos humanos, de los ordenamientos legales que regulan la actividad del gobierno en la seguridad pública, con el objetivo de garantizar la coordinación y profesionalización de las policías preventivas, investigadores judiciales y ministerios públicos; así como los respectivos ordenamientos que garanticen la agilidad y transparencia en la aplicación  de la justicia penal.",,"protección a los periodistas y garantizar el desempeño de su trabajo, con pleno respeto a la libertad de expresión, sin la coacción del crimen organizado. "," Promover un diálogo con los miembros del Po_der Judicial, las agrupaciones de derechos huma_nos y las asociaciones de abogados para la ins_trumentación integral de la reforma del Poder Judicial."
Reforma de la legislación penal," Promover una reforma constitucional para elegir democráticamente a los ministros de la Corte, conjugando los mecanismos de la democracia representativa y la democracia directa, para lograr que la Suprema Corte de Justicia recupere su independencia, se ponga realmente al servicio del pueblo y de la Nación y se cumpla el criterio de que nada debe ser al margen de la ley y nadie debe estar por encima de la ley.",," Promover reformas a la Ley de Responsabilidad Patrimonial del Estado, para incorporar lo relativo a los daños y perjuicios en los bienes de los ciudadanos, por acciones de los cuerpos policiales de la Federación y de la Defensa Nacional, cuando sus actos no se ajusten a la ley o se declare la inocencia de los inculpados."," Aplicar el sistema de conciliación, mediación y ar_bitraje como alternativa a la solución de conflictos."
Reforma de la legislación penal," Unificar las legislaciones locales para que delitos de la misma índole merezcan la misma sanción, sobre todo en lo concerniente a los delitos relacionados con el crimen organizado y el narcotráfico.",," Impulsar reformas legislativas, para dotar de autonomía a la defensoría pública, fortaleciendo a los ministerios públicos, a efectos de que puedan cumplir adecuadamente con sus funciones, dotándolos de los instrumentos legales, administrativos y de infraestructura necesarios asegurando que cuente con mayores recursos humanos y materiales. ",
Reforma de la legislación penal,"Hacer realidad los juicios simplificados, transparentes y orales, a fin de dictar las sentencias en un plazo no mayor de seis meses",," Impulsar una Ley Federal de Ejecución de Sanciones Penales, ",
Reforma de la legislación penal, Hacer efectiva la presunción de inocencia como una garantía exigible al Estado.,,"para lograr una transformación profunda del sistema penitenciario a través pilares como la educación, el trabajo, la capacitación, la salud y el deporte. ",
Reforma de la legislación penal,,," Ampliar la reforma de justicia penal en curso a otros ámbitos, como lo serían el civil o administrativo, que permitan desahogar en horas lo que hoy por hoy se dirime en meses y años, en un sistema estructuralmente aletargado, que en esos rubros priva actualmente en México.",
Reforma de la legislación penal,,," Elaborar una iniciativa marco, a fin de homologar en lo posible los códigos penales de los estados, en lo que se refiere a la compurgación de los delitos, buscando la compatibilidad en todas las entidades de la federación.",
Reforma de la legislación penal,,," Impulsar reformas en la legislación penal, para castigar con mayor rigor a quienes atenten contra los servidores públicos de las instituciones de justicia y seguridad pública y de sus familias.",
Transparencia," Someter a todas las autoridades judiciales a la transparencia y a la rendición de cuentas. Para ello, es indispensable revisar la integración y funcionamiento del Consejo de la Judicatura, dada su ineficiencia en materia de corrupción, responsabilidades, evaluación y administración imparcial de nombramientos y promociones.",,," Implementar integralmente el sistema acusatorio, adversarial y oral, a fin de dar transparencia al trabajo de los jueces y reducir los plazos de im_partición de justicia."
Transparencia," Transformar a los órganos fiscalizadores, como la Auditoría Superior de la Federación, en verdaderos órganos constitucionales autónomos, plenamente responsables de sus actos, que no dependan de ninguno de los tres poderes públicos, con la finalidad de fortalecer la lucha contra la corrupción, la impunidad y mejorar la rendición de cuentas.",,,
Derechos humanos, Adoptar una estrategia de seguridad ciudadana basada en la primacía de los derechos humanos y las garantías constitucionales,," Garantizar los Derechos Humanos de la sociedad civil, en todos y cada uno de los operativos de seguridad nacional."," Apoyar la reglamentación de la reforma constitu_cional en materia de derechos humanos y, de ma_nera específica, la del artículo 29 constitucional"
Derechos humanos, Superar el falso dilema entre seguridad eficiente ó respeto a los derechos humanos.  En un Estado democrático y social de derecho es perfectamente posible instrumentar políticas de seguridad que respeten los derechos humanos,,,
Derechos humanos, Garantizar la seguridad de las y los defensores de derechos humanos,,,
Derechos humanos,,,,
Derechos humanos,,,,
Cultura de la legalidad," Construir una cultura ciudadana de rechazo social a la ilegalidad y el delito; nuestro objetivo es la construcción de comunidades seguras en todo el país, estableciendo prioridades presupuestarias en políticas sociales;",," Fortalecer la cultura de la legalidad con la participación de los tres poderes y los tres órdenes de gobierno, la sociedad civil y las instituciones de educación de todos los niveles publicando y difundiendo una Guía Práctica para toda la población, sobre el funcionamiento de las instituciones públicas, las obligaciones de los servidores públicos y los derechos y obligaciones de los ciudadanos, en especial de los derechos de las niñas, niños y adolescentes y la erradicación de la violencia contra las mujeres.", Diseñar una política educativa enfocada en cubrir los factores de riesgo que inciden en la inseguridad.
Cultura de la legalidad,,, Promover la creación de Posgrados en Cultura de la Legalidad dentro de las Normales Superiores y centros educativos,
Cultura de la legalidad,,," Divulgar por los medios electrónicos e impresos, de manera gratuita, el orden jurídico nacional, para que todos los mexicanos conozcan las estructuras y el funcionamiento de las instituciones, las obligaciones de los servidores públicos y sus derechos y obligaciones como ciudadanos",
Cultura de la legalidad,,, Crear un organismo público cuyo objetivo sea desarrollar y ,
