sexo,nombre,apellidos,partido,tipo_de_eleccion,entidad,distrito,circunscripcion,telefono,extension,correo_electronico,twitter,comisiones,bio,suplente_nombre,suplente_apellido
M,Rubén,Acosta Montoya ,Partido Verde Ecologista de México,Representación proporcional,Chihuahua,,1,,,,,,,Miguel Alfonso ,Vildosola Lacarra
F,Lilia ,Aguilar Gil,Partido del Trabajo,Representación proporcional,Chihuahua,,1,,,,@liliaguilarz,,,Martín ,Plascencia Ávila
F,María Elvia,Amaya Araujo,Partido Revolucionario Institucional,Representación proporcional,Baja California,,1,,,,,,,Carla Ibeth ,Pedrero Espinoza
M,Alberto,Anaya Gutiérrez,Partido del Trabajo,Representación proporcional,Nuevo León,,2,,,,,,,Priscila María,Acosta Villalpando
M,Carlos Fernando,Angulo Parra,Partido Acción Nacional,Mayoría Relativa,Chihuahua,3,,,,,@CarlosAnguloP ,,,José Antonio,Badia San Martín
F,Consuelo,Argüelles Loya,Partido Acción Nacional,Representación proporcional,Nuevo León,,2,,,,,,,Ricardo ,Peña Parra
M,Kamel,Athie Flores,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,7,,,,,@KamelAthie,,,Teodoro,Arguijo Hernández
M,Jaime,Bonilla Valdez ,Partido del Trabajo,Representación proporcional,Baja California,,1,,,,,,,Diana Paulina,Osorio Moreno
M,Benito,Caballero Garza,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,2,,,,,,,,Virgina ,Barajas Monjarás
F,María Elia ,Cabañas Aparicio ,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,4,,,,,,,,Matilde Alejandra ,Rosas Escobar
M,Eloy,Cantú Segovia,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,@EloyCantuS,,,Ignacio ,Ramírez Juárez
F,Minerva,Castillo Rodríguez,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,6,,,,,@MinervaCR1,,,Rocío,Ruiz de la Barrera
M,Benjamín ,Castillo Valdez,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,1,,,,,,,,Alicia Asunción,Grande Olguín
M,Fernando Jorge,Castro Trenti,Partido Revolucionario Institucional,Representación proporcional,Baja California,,1,,,,@SenCastroTrenti ,,,Erika,Gómez Lozada
F,María Sanjuana,Cerda Franco ,Nueva Alianza,Representación proporcional,Nuevo León,,2,,,,,,,José de Jesús,González Curiel
F,María del Socorro,Ceseñas Chapa,Partido de la Revolución Democrática,Representación proporcional,Nuevo León,,2,,,,,,,José,Soto González
F,Martha Beatriz,Córdova Bernal ,Movimiento Ciudadano,Representación proporcional,Chihuahua,,1,,,,,,,Álvaro,Martínez García
M,Alberto,Coronado Quintanilla,Partido Acción Nacional,Mayoría Relativa,Nuevo León,6,,,,,@Coronadomx,,,Mariana Guadalupe,Flores Álvarez
M,Andrés ,de la Rosa Anaya,Partido Acción Nacional,Representación proporcional,Baja California,,1,,,,,,,Ana María,Roth González
M,Pedro Ignacio ,Domínguez Zepeda,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,8,,,,,@Pedro_Dgz,,,Karina,Kelly Sánchez
M,José Ignacio ,Duarte Murillo,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,2,,,,,@Nacho_Duarte_,,,Minerva Marisol,Sánchez Hernández
M,Víctor Osvaldo,Fuentes Solís,Partido Acción Nacional,Mayoría Relativa,Nuevo León,4,,,,,@victorfuentesmx ,,,Alejandra,García Gutiérrez
