tema,Movimiento Progresista,Nueva Alianza,Partido Acción Nacional,Compromiso por México
Prevención del delito," El desarrollo de una política contra el crimen debe enfocarse a la prevención del delito, al abatimiento de la impunidad, a reducir el número de muertes y de lesionados, a la preservación de la libertad y la integridad de las personas y a la defensa de sus derechos patrimoniales. Éstos deben ser el objetivo de una estrategia nacional", Otra generación de políticas públicas diseñadas para la prevención del crimen y el desmantelamiento de las condiciones sociales y económicas que facilitan la reproducción del crimen organizado.," Fortalecer las capacidades de los municipios del país, para desarrollar acciones eficaces de prevención del delito y la mitigación de los efectos de la violencia.", Consolidar el Programa Nacional de Prevención del Delito como un eje estratégico de la lucha anticrimen
Prevención del delito," Crear el Instituto Ciudadano para la Prevención Social del Delito, generando propuestas y evaluando el desempeño en la materia",," Superar el paradigma policiaco de la seguridad pública por el de la prevención política, económica y social de la violencia y la delincuencia. "," Reorientar la estrategia de seguridad pública para privilegiar el trabajo de investigación en la pre_vención del delito, mediante la modernización tecnológica y la implantación de sistemas de in_formación e inteligencia policial."
Prevención del delito,,,, Intensificar las campañas de comunicación para la prevención del delito y conductas antisociales.
Participación ciudadana," Ejecutar un programa nacional de fortalecimiento institucional que haga operativos los mecanismos de rendición de cuentas, que articule adecuadamente los controles internos y externos, y que instituya las estructuras innovadoras de auditoría ciudadana."," Llevar a cabo acciones cívicas y sociales que involucren a la sociedad en la prevención del delito, generando condiciones de bienestar en las comunidades y del mismo modo, contribuir a fortalecer las redes sociales formales e informales.  "," Promover la creación de observatorios ciudadanos y contralorías sociales en el ámbito Federal, para evaluar la conducta y el quehacer público de los funcionarios de los tres órdenes de gobierno, con legitimación para presentar quejas administrativas y denuncias por ilícitos oficiales."," Impulsar que en cada municipio se instalen co_mités de participación ciudadana en materia de prevención, seguridad y denuncia ciudadana."
Participación ciudadana,,,, Desarrollar un sistema de denuncia ciudadana en línea contra todo tipo de delitos.
Participación ciudadana,,,, Consolidar los consejos ciudadanos de seguridad y reforzar la defensoría pública.
Fuerzas policíacas," Capacitación y equipamiento de los cuerpos de seguridad pública, y la formación de nuevas generaciones de policías",," Fortaleceremos las instituciones, academias y centros de formación profesional, del personal de seguridad pública de los tres órdenes de gobierno, con mayores recursos presupuestales y esquemas de coordinación y colaboración privilegiando la formación de cuerpos especializados multidisciplinarios, con formación científica para combatir la delincuencia."," Impulsar la profesionalización, la capacitación continua y el mejoramiento de las condiciones de trabajo y de vida de los cuerpos policíacos en los tres niveles de las funciones específicas que les corresponden "
Fuerzas policíacas," Respetar y perfeccionar el marco legal de asistencia y coordinación policial mutua entre Federación, las entidades federativas y los municipios, en el respeto irrestricto a la soberanía de los Estados, estableciendo los mecanismos para impulsar operativos conjuntos para combatir la delincuencia y para compartir información de inteligencia.",, Mejoraremos las prestaciones sociales del personal de las instituciones de seguridad pública; poniendo énfasis en las que corresponde a las familias de los elementos que cayeron en el cumplimiento de su deber.," Combatir la corrupción, la complicidad y la im_punidad en todos los órganos responsables de la seguridad pública y la procuración e impartición de justicia."
Fuerzas policíacas," Impulsar la reforma de las instituciones policiales, su depuración y profesionalización. La Policía será entendida como un servicio público de naturaleza civil, orientado a la comunidad antes que al Estado. Los miembros de la Policía estarán preparados para hacer uso de la fuerza, de manera tal que ésta no se constituya en un medio para afectar la dignidad de las personas. También evitarán actos discriminatorios con motivo de la aplicación de la ley, los cuales se producen cuando ésta se imparte de manera diferenciada por razones de apariencia, condición social o cultural de las personas, o cualquier otra diferencia.",," Continuaremos con la aplicación del nuevo modelo policial respetando el federalismo para lograr instituciones policiacas confiables, capacitados, instruidos y sometidos a un riguroso mecanismo de certificación."," Actualizar el registro de servidores públicos en el rubro de seguridad pública, para que considere su desempeño y formación profesional como requisito para ingresos, reingresos, ascensos y permanencia en el cargo, con el objeto de depu_rar los cuerpos policiacos en los ámbitos federal, estatal y municipal."
Fuerzas policíacas," Desmilitarizar a la policía. La policía es una institución civil y debe refundarse poniendo como principal valor su esencia civilista y su capacidad para la resolución de conflictos de la ciudadanía, por tanto, debe desvincularse de la institución militar y acercarse a la sociedad civil.",," Promoveremos el respeto irrestricto a los derechos de los elementos de las fuerzas policiales y militares, pero también promoveremos castigos ejemplares a los que traicionen a sus compañeros y a la sociedad.", Crear un perfil de ingreso y permanencia en los cuerpos de policía para todos los niveles y pro_mover la instauración de controles de confianza
